id,spent_at,amount,amount_minor,currency,name,category,category_code,location,comment,assignment_source,dedup_key
demo-ui-0001,2026-09-04T10:00:00Z,150.00,15000,RUB,Латте,Кафе,CAFE,Шоколадница,,import,demo:ui:1
demo-ui-0002,2026-09-03T10:00:00Z,770.83,77083,RUB,Кетостерил,Здоровье,HEALTH,Столичка на Чкалова,,import,demo:ui:2
demo-ui-0003,2026-09-02T10:00:00Z,241.65,24165,RUB,Бензин,Транспорт,TRANSPORT,Лукойл,,import,demo:ui:3
demo-ui-0004,2026-09-01T10:00:00Z,1492.49,149249,RUB,Хлеб,Продукты,GROCERIES,,,import,demo:ui:4
demo-ui-0005,2026-08-31T10:00:00Z,483.31,48331,RUB,Непонятная покупка,Прочее,OTHER,,,import,demo:ui:5
demo-ui-0006,2026-08-30T10:00:00Z,2654.15,265415,RUB,Врач,Здоровье,HEALTH,Поликлиника,,import,demo:ui:6
demo-ui-0007,2026-08-29T10:00:00Z,3124.98,312498,RUB,Стоматолог,Здоровье,HEALTH,Стоматология,,import,demo:ui:7
demo-ui-0008,2026-08-28T10:00:00Z,955.80,95580,RUB,Молоко,Продукты,GROCERIES,Пятёрочка,,import,demo:ui:8
demo-ui-0009,2026-08-27T10:00:00Z,1426.63,142663,RUB,Яйца,Продукты,GROCERIES,Магнит,,import,demo:ui:9
demo-ui-0010,2026-08-26T10:00:00Z,1897.46,189746,RUB,Йогурт,Продукты,GROCERIES,ВкусВилл,,import,demo:ui:10
demo-ui-0011,2026-08-25T10:00:00Z,2368.29,236829,RUB,"""молоко 3.2%""",Продукты,GROCERIES,Перекрёсток,,import,demo:ui:11
demo-ui-0012,2026-08-24T10:00:00Z,419.11,41911,RUB,Творог,Продукты,GROCERIES,Лента,,import,demo:ui:12
demo-ui-0013,2026-08-23T10:00:00Z,889.94,88994,RUB,Сметана,Продукты,GROCERIES,Ашан,,import,demo:ui:13
demo-ui-0014,2026-08-22T10:00:00Z,1360.77,136077,RUB,Кефир,Продукты,GROCERIES,Дикси,,import,demo:ui:14
demo-ui-0015,2026-08-21T10:00:00Z,1831.60,183160,RUB,Сыр российский,Продукты,GROCERIES,Азбука Вкуса,,import,demo:ui:15
demo-ui-0016,2026-08-20T10:00:00Z,2302.43,230243,RUB,Масло сливочное,Продукты,GROCERIES,Самокат,,import,demo:ui:16
demo-ui-0017,2026-08-19T10:00:00Z,353.25,35325,RUB,Колбаса варёная,Продукты,GROCERIES,Окей,,import,demo:ui:17
demo-ui-0018,2026-08-18T10:00:00Z,824.08,82408,RUB,Сосиски молочные,Продукты,GROCERIES,Пятерочка на Ленина,,import,demo:ui:18
demo-ui-0019,2026-08-17T10:00:00Z,1294.91,129491,RUB,Курица охлаждённая,Продукты,GROCERIES,Pyaterochka,,import,demo:ui:19
demo-ui-0020,2026-08-16T10:00:00Z,1765.74,176574,RUB,Фарш говяжий,Продукты,GROCERIES,Пятёрочка,,import,demo:ui:20
demo-ui-0021,2026-08-15T10:00:00Z,2236.57,223657,RUB,Рыба свежая,Продукты,GROCERIES,Магнит,,import,demo:ui:21
demo-ui-0022,2026-08-14T10:00:00Z,287.39,28739,RUB,Сельдь солёная,Продукты,GROCERIES,ВкусВилл,,import,demo:ui:22
demo-ui-0023,2026-08-13T10:00:00Z,758.22,75822,RUB,Гречка,Продукты,GROCERIES,Перекрёсток,,import,demo:ui:23
demo-ui-0024,2026-08-12T10:00:00Z,1229.05,122905,RUB,Рис круглозёрный,Продукты,GROCERIES,Лента,,import,demo:ui:24
demo-ui-0025,2026-08-11T10:00:00Z,1699.88,169988,RUB,Макароны,Продукты,GROCERIES,Ашан,,import,demo:ui:25
demo-ui-0026,2026-08-10T10:00:00Z,2170.71,217071,RUB,Мука пшеничная,Продукты,GROCERIES,Дикси,,import,demo:ui:26
demo-ui-0027,2026-08-09T10:00:00Z,221.53,22153,RUB,Сахар песок,Продукты,GROCERIES,Азбука Вкуса,,import,demo:ui:27
demo-ui-0028,2026-08-08T10:00:00Z,692.36,69236,RUB,Соль пищевая,Продукты,GROCERIES,Самокат,,import,demo:ui:28
demo-ui-0029,2026-08-07T10:00:00Z,1163.19,116319,RUB,Подсолнечное масло,Продукты,GROCERIES,Окей,,import,demo:ui:29
demo-ui-0030,2026-08-06T10:00:00Z,1634.02,163402,RUB,Хлебцы,Продукты,GROCERIES,Пятерочка на Ленина,,import,demo:ui:30
demo-ui-0031,2026-08-05T10:00:00Z,2104.85,210485,RUB,Батон нарезной,Продукты,GROCERIES,Pyaterochka,,import,demo:ui:31
demo-ui-0032,2026-08-04T10:00:00Z,155.67,15567,RUB,Булка сдобная,Продукты,GROCERIES,Пятёрочка,,import,demo:ui:32
demo-ui-0033,2026-08-03T10:00:00Z,626.50,62650,RUB,Багет,Продукты,GROCERIES,Магнит,,import,demo:ui:33
demo-ui-0034,2026-08-02T10:00:00Z,1097.33,109733,RUB,Печенье юбилейное,Продукты,GROCERIES,ВкусВилл,,import,demo:ui:34
demo-ui-0035,2026-08-01T10:00:00Z,1568.16,156816,RUB,Пряники тульские,Продукты,GROCERIES,Перекрёсток,,import,demo:ui:35
demo-ui-0036,2026-07-31T10:00:00Z,2038.99,203899,RUB,Шоколад плитка,Продукты,GROCERIES,Лента,,import,demo:ui:36
demo-ui-0037,2026-07-30T10:00:00Z,89.81,8981,RUB,Чай листовой,Продукты,GROCERIES,Ашан,,import,demo:ui:37
demo-ui-0038,2026-07-29T10:00:00Z,560.64,56064,RUB,Кофе в зернах,Продукты,GROCERIES,Дикси,,import,demo:ui:38
demo-ui-0039,2026-07-28T10:00:00Z,1031.47,103147,RUB,Сок яблочный,Продукты,GROCERIES,Азбука Вкуса,,import,demo:ui:39
demo-ui-0040,2026-07-27T10:00:00Z,1502.30,150230,RUB,Вода 5л,Продукты,GROCERIES,Самокат,,import,demo:ui:40
demo-ui-0041,2026-07-26T10:00:00Z,1973.13,197313,RUB,Газировка,Продукты,GROCERIES,Окей,,import,demo:ui:41
demo-ui-0042,2026-07-25T10:00:00Z,2443.96,244396,RUB,Кетчуп,Продукты,GROCERIES,Пятерочка на Ленина,,import,demo:ui:42
demo-ui-0043,2026-07-24T10:00:00Z,494.78,49478,RUB,Майонез,Продукты,GROCERIES,Pyaterochka,,import,demo:ui:43
